12 01 00 02 00 00 00 20 CF 0F 08 10 00 01 01 02 03 01,in
09 02 20 00 01 01 02 80 32,in
09 02 20 00 01 01 02 80 32 09 04 00 00 02 FF 00 00 02 07 05 81 02 40 00 01 07 05 01 02 40 00 01,in 

04 03 09 04,in
1E 03 41 00 4E 00 54 00 20 00 55 00 53 00 42 00 53 00 74 00 69 00 63 00 6B 00 32 00 00 00,in
04 03 09 04,in
2A 03 31 00 33 00 37 00 00 00 89 00 AD 00 1A 00 00 00 00 00 00 00 89 00 AD 00 1A 00 00 00 00 00 44 00 53 00 49 00 00 00 42 00,in

12 01 00 02 00 00 00 20 CF 0F 08 10 00 01 01 02 03 01,in
04 03 09 04,in
1E 03 41 00 4E 00 54 00 20 00 55 00 53 00 42 00 53 00 74 00 69 00 63 00 6B 00 32 00 00 00,in
04 03 09 04,in
2A 03 31 00 33 00 37 00 00 00 89 00 AD 00 1A 00 00 00 00 00 00 00 89 00 AD 00 1A 00 00 00 00 00 44 00 53 00 49 00 00 00 42 00,in

12 01 00 02 00 00 00 20 CF 0F 08 10 00 01 01 02 03 01,in
04 03 09 04,in
1E 03 41 00 4E 00 54 00 20 00 55 00 53 00 42 00 53 00 74 00 69 00 63 00 6B 00 32 00 00 00,in
04 03 09 04,in
2A 03 31 00 33 00 37 00 00 00 89 00 AD 00 1A 00 00 00 00 00 00 00 89 00 AD 00 1A 00 00 00 00 00 44 00 53 00 49 00 00 00 42 00,in

# 12 = 0001 0010
# 1E = 0001 1110
# 09 = 0000 1001
# 04 = 0000 0100
# 2A = 0010 1010
# A4 = 1010 0100

# 5x A4 02
# A4 = header (MSB:LSB)
# 02 = msg length
# 4D = msg id
# 00 54 = msg
# BF = checksum
# --- Verif checksum:
# --- 1010 0100
# --- 0000 0010
# --- 0100 1101
# --- 0000 0000
# --- 0101 0100
# --- ---------
# --- 1011 1111
# 00 00 ????
A4 02 4D   00 54                        BF 00 00,out  # Request message
A4 06 54   08 03 00 BA 36 00            71,in
# Message ID: 0x4X = answer, 0x5Y = query ? X/Y contains error code ?
# Demande si c'est la fin ?
A4 01 4A   00 EF 00                     00,out        # System reset
# Marqueur de fin ?
A4 01 6F   00                           CA,in

# ???
# Messages ID:
